0	unknown error
877	%[gcnew] cannot be used to allocate a native array
878	a %[C++/CLI] interface class cannot declare an assignment operator
879	a %[C++/CLI] interface class cannot be sealed
87A	
87B	a destructor or finalizer declaration cannot include a named override specifier
87C	an override specifier cannot designate a destructor or finalizer
87D	a named override specifier is allowed only in a %[managed] class
87E	no member designated by the named override specifier matches the type of this member
87F	a static constructor declaration cannot include a named override specifier
880	a scoped enum type must have a name
881	transfer of control into a finally block is not allowed
882	return statement inside a finally block is not allowed
883	try block requires at least one handler or finally clause
884	a %[managed] object must be thrown by handle
885	a %[managed] object must be caught by handle
886	a break statement cannot be used in a finally block
887	a continue statement cannot be used in a finally block
888	builtin offsetof cannot be used when subscripting is overloaded
889	duplicate constraint
88A	more than one class constraint: %t1 and %t2
88B	more than one constraint clause for %n
88C	initonly static data members must have an initializer or be initialized in a static constructor
88D	GNU attributes on a template redeclaration have no effect
88E	GNU attributes on a template redeclaration have no effect (the attributes of the original declaration %p apply instead)
88F	a %[C++/CLI] parameter array must be the last parameter
890	a function with a %[C++/CLI] parameter array cannot have default arguments
891	a %[C++/CLI] parameter array cannot be followed by an ellipsis parameter
892	a %[C++/CLI] parameter array is not allowed in an operator function parameter list
893	__inline and __forceinline are not allowed here
894	a data member cannot have a %[C++/CLI] interface class type
895	a variable cannot have a %[C++/CLI] interface class type
896	a parameter cannot have a %[C++/CLI] interface class type
897	a function return type cannot be a %[C++/CLI] interface class type
898	an array of generic parameter type is not allowed
899	a pointer, handle, or reference to a generic parameter type is not allowed
89A	an initonly field cannot have a ref class type
89B	a reference cannot be bound to an initonly field
89C	taking the address of an initonly field is not allowed
89D	an initonly field can only be modified by the instance constructor of its containing class
89E	a static initonly field can only be modified by the static constructor of its containing class
89F	member function will be invoked on a copy of the initonly field
8A0	expression must have pointer or handle type but it has type %t
8A1	a move constructor or move assignment operator is used to copy an lvalue here, which may destroy the source object
8A2	member selection on a %[C++/CLI] generic entity must use the "->" syntax, not "."
8A3	a ref class type cannot derive from %t
8A4	a generic class must be %[managed] (i.e., a ref class, a value class, or an interface class)
8A5	a sealed class cannot be used as a constraint
8A6	the type in a dynamic_cast cannot be a generic type that might be a value type
8A7	a universal character name must designate a valid code point
8A8	generic constraints do not match those of %nd
8A9	__underlying_type only applies to enum types
8AA	expected only one operand expression for this cast
8AB	Unicode character with hex value %s not representable in the system default code page
8AC	nonstandard conversion of bound pointer-to-member to a function pointer
8AD	access specifier %s1 is deprecated -- use %s2 instead
8AE	a static accessor function is not permitted in a nonstatic property or event definition
8AF	%t has both a value class and ref class constraint
8B0	%t1 and %t2 involve circular naked type constraints
8B1	%t is not a valid type constraint
8B2	precompiled header file %sq not used (because it is incomplete)
8B3	%t is not a valid generic argument
8B4	assembly_info attribute applied to an invalid type
8B5	%t1 does not satisfy the ref class constraint of generic parameter %t2
8B6	%t1 does not satisfy the value class constraint of generic parameter %t2
8B7	%t1 does not satisfy the %[gcnew] constraint of generic parameter %t2 because it is abstract
8B8	%t1 does not satisfy the %[gcnew] constraint of generic parameter %t2 because it does not have a public default constructor
8B9	generic parameter %t1 does not satisfy the %[gcnew] constraint of generic parameter %t2 because it does not have the %[gcnew] constraint
8BA	%t1 does not satisfy the %t3 type constraint of generic parameter %t2
8BB	constraint on generic parameter %t differs from previous declaration (%p)
8BC	a member of a %[managed] class cannot be a standard array
8BD	a member of a non-%[managed] class cannot be a handle
8BE	a member of a non-%[managed] class cannot be a tracking reference
8BF	unsafe reinterpret_cast of handle
8C0	a template argument may not reference a generic type parameter
8C1	an expression list is not allowed in this subscript operation (use parentheses around a top-level comma operator)
8C2	expression must have pointer-to-object or handle-to-%[C++/CLI]-array type but it has type %t
8C3	unrecognized attribute
8C4	a member of a %[managed] class cannot be of a non-%[managed] class type
8C5	a member of a non-%[managed] class cannot have a ref class type or interface class type
8C6	in 
8C7	a delegate may not be declared as a template
8C8	a generic cannot be explicitly specialized
8C9	a generic cannot be declared in a class template
8CA	a template cannot be declared in a generic class
8CB	a literal field cannot be declared "static"
8CC	"long float" is a nonstandard extension -- use "double" instead
8CD	a standard class cannot be nested in a %[managed] class
8CE	__clrcall is valid only in C++/CLI mode
8CF	__clrcall not allowed on function with ellipsis parameter
8D0	%sq is not allowed here
8D1	a trivial property or event cannot be used to override %nd
8D2	expected an iterator variable name
8D3	the iterator type in this "for each" statement is %t, which is not a pointer type or an iterator-like class type
8D4	the iterator type in this "for each" statement is %t, which is not a pointer type or an iterator-like class type
8D5	the iterator type in this "for each" statement is %t, which is not a pointer type or an iterator-like class type
8D6	packing attribute on the parent type is ignored for this field of class type %t that is not standard-layout
8D7	%nd not implemented because this declaration is not public and has no named override specifier
8D8	this declaration is missing the gnu_inline attribute specified in the previous declaration %p
8D9	a member function of a %[managed] class cannot have an ellipsis parameter
8DA	previously-declared %n invalid as iterator of "for each" statement
8DB	calling convention ignored because the function type involves a generic parameter; __clrcall used instead
8DC	a function type involving a generic parameter cannot have an ellipsis parameter
8DD	"virtual" is required to override the matching %nd
8DE	"virtual" is required to implement the matching %nd
8DF	an initonly data member cannot be volatile
8E0	a member %sq of this type is reserved within a %[managed] class -- %[C++/CLI] operators must be declared using the keyword "operator"
8E1	a tracking reference to non-const cannot be bound to a constant
8E2	attributes ignored here because they do not apply to a declared entity
8E3	a tracking reference to %[System]::String is not allowed
8E4	invalid use of a generic class %t with pending constraints (probably caused by an invalid metadata file)
8E5	a pending constraint clause is only allowed for generic class declarations (but not generic class definitions)
8E6	empty initializer list not allowed here
8E7	a template cannot be declared in a %[managed] class
8E8	a generic declaration is not allowed here
8E9	interface types cannot have member generics
8EA	Unicode character not Latin-1, truncated to low-order byte
8EB	to be used with range-based "for" statements, type %t must provide function %sq
8EC	the iterator type in this range-based "for" statement is %t, which is not a pointer type or an iterator-like class type
8ED	the iterator type in this range-based "for" statement is %t, which is not a pointer type or an iterator-like class type
8EE	the iterator type in this range-based "for" statement is %t, which is not a pointer type or an iterator-like class type
8EF	a range-based "for" statement cannot operate on an array of unknown size or incomplete type %t
8F0	return types for "begin" and "end" functions used in a range-based "for" statement must be the same ("begin" return type is %t1, "end" return type is %t2)
8F1	%nfd, required to destroy temporary that was eliminated, is inaccessible
8F2	in this range-based "for" statement, no instance of %no matches the argument list
8F3	this range-based "for" statement requires a suitable %sq function and none was found
8F4	this "for each" statement requires a suitable %sq function and none was found
8F5	%t has a metadata representation not representable using %[C++/CLI]
8F6	expected "..."
8F7	%t in __implements list is not an interface
8F8	an __implements list must precede virtual function declarations
8F9	%t specified "__implements ..." in its list of bases, but is missing a matching __implements list
8FA	the result of dereferencing a handle to a ref or interface class type must be used
8FB	
8FC	expected a ")"; pragma ignored
8FD	a using-declaration or access declaration cannot appear in a managed class
8FE	Note: %nd could have been called but was not considered because it is inaccessible
8FF	an abstract member function of a C++/CLI managed class cannot have a definition
900	declaring this unary "operator*" can change the meaning of dereferencing a handle (use static member operators to explicitly indicate applicable types)
901	managed
902	C++/CX
903	C++/CLI
904	C++/CX mapping
905	default
906	cli mapping
907	cli::array
908	Platform::Array
909	C++/CLI array
90A	C++/CX array
90B	System
90C	Platform
90D	gcnew
90E	ref new
90F	an interface class cannot contain a nonstatic data member
910	#pragma GCC system_header cannot be used in the primary source file
911	%n is too large to be inlined
912	 (declared implicitly)
913	option to control move operations can be used only when compiling C++
914	move operations cannot be generated when rvalue constructors are copy constructors
915	option to control move operations cannot be used when rvalue references are disabled
916	"final" cannot be used for managed classes (use "sealed" instead)
917	a cast to CLI interface class %t is not allowed -- cast to handle intended?
918	cannot create an object of a CLI interface class
919	this declaration hides the nonstandard declaration of %nd because the underlying types are incompatible
91A	pointer comparison result is constant, because operand can never be null
91B	an object of the incomplete type %t cannot be value-initialized
91C	a reference cannot be value-initialized
91D	expected a "(" or a "{"
91E	copy-list-initialization cannot use a constructor marked "explicit"
91F	pointer to member of type void is not allowed
920	pointer to member of reference type is not allowed
921	pointer to member of handle type is not allowed
922	a brace-enclosed list is not allowed here
923	an operator->* member is not allowed in a managed class
924	assembly metadata refers to non-existent assembly
925	attribute %sq2 conflicts with earlier attribute %sq1
926	%nd was previously declared with a different base type
927	"enum class" and "enum struct" cannot be used here (use plain "enum" instead)
928	only one level of braces is allowed on an initializer for an object of type %t
929	%nd cannot be used as an enum type name
92A	
92B	a braced-initializer cannot be used with "new auto"
92C	the definition of std::initializer_list does not contain the expected constructor
92D	declaration hides %nd
92E	invalid template parameter list for std::initializer_list (it should be one ordinary type parameter with no default)
92F	a brace-enclosed list cannot be passed for an ellipsis parameter
930	an #include <initializer_list> is needed prior to a use of std::initializer_list, including an implicit use
931	the "inline" keyword cannot be used on a namespace alias declaration
932	the previous declaration of %n was not declared inline
933	%n was previously declared inline
934	the first argument must be an integer constant
935	a designator cannot be used with a non-aggregate type %t
936	a designator for an anonymous union member can only appear within braces corresponding to that anonymous union
937	function prototype tags can only be enabled when compiling C
938	braces cannot be omitted for this subobject initializer
939	invalid narrowing conversion from %t1 to %t2
93A	invalid narrowing conversion from %t1 to %t2: constant value does not fit in destination type
93B	cast to incomplete array type %t is not allowed
93C	invalid narrowing conversion from %t1 to %t2: constant value cannot be represented exactly in destination type
93D	a parenthesized initializer for a non-class entity must be an expression, not a brace-enclosed list
93E	a brace-enclosed list does not provide a return type for this lambda
93F	the declared exception specification is incompatible with the generated one
940	scoped enum types are a C++11 feature
941	a function type cannot be value-initialized
942	list-initialization of an object type %t is not allowed because the type is incomplete
943	std::initializer_list has a destructor, and is not supposed to -- library is misconfigured
944	explicit enum base types are a C++11 feature
945	this constant expression has type %t1 instead of the required %t2 type
946	a "new" of an std::initializer_list object is unlikely to work as expected because the underlying array will be destroyed at the end of the full expression
947	In predefined macro file
948	
949	"defined" is always false in a macro expansion in Microsoft mode
94A	%t cannot be the element type of an initializer list because it is not a complete object type
94B	mismatched delimiters in default argument expression
94C	nonstandard conversion of pointer-to-member to a function pointer
94D	dynamic exception specifications are deprecated
94E	%n cannot be partially specialized in the current scope
94F	%nd was previously declared constexpr
950	%nd was previously not declared constexpr
951	missing initializer for constexpr variable
952	"constexpr" is not valid here
953	a constexpr function must contain exactly one return statement
954	statement may not appear in a constexpr function
955	statement may not appear in a constexpr constructor
956	a function cannot be both constexpr and virtual in this mode
957	a constexpr function cannot have a nonliteral return type %t
958	a constexpr function cannot have a parameter of nonliteral type %t
959	unsequenced uses of %n in expression may produce undefined results
95A	the optional third argument of a call to __builtin_assumed_aligned must have integral type
95B	a destructor cannot be constexpr
95C	address supplied for mmap must be aligned on a page boundary: %s
95D	the body of a constexpr constructor cannot be a function try block
95E	constexpr %nf provides no initializer for:
95F	%n
960	calling the default constructor for %t does not produce a constant value
961	the default constructor for %t is not constexpr
962	a constexpr variable must have a literal type or a reference type
963	a constructor for a class with virtual bases cannot be constexpr
964	function call must have a constant value in a constant expression
965	function "main" may not be declared constexpr
966	
967	a class or enum type definition cannot appear in a constexpr function or constructor body
968	only GNU-style attributes are permitted here
969	nonstandard use of "auto" to both deduce the type from an initializer and to announce a trailing return type
96A	declaring a void parameter list with a qualified void type is nonstandard
96B	the qualifier on this local declaration is ignored
96C	this constant expression has type %t instead of the required %s type
96D	an instantiation of __bases or __direct_bases requires a class type
96E	the argument of __bases and __direct_bases must be a type template parameter
96F	%s can only be used in template contexts
970	constexpr function return is non-constant
971	constexpr constructor calls non-constexpr %n
972	constructor cannot be constexpr because the initializer of %n is not a constant expression
973	non-constant initializer for constexpr constructor
974	the generated default constructor for %t cannot be used in an initializer for its own data member
975	instantiation of initializer of %n depends on its own value
976	defaulted default constructor cannot be constexpr because the corresponding implicitly declared default constructor would not be constexpr
977	
978	invalid binary number
979	a union can have at most one field initializer -- %nd also has an initializer
97A	
97B	constexpr constructor of a union must initialize one of its fields
97C	constexpr constructor fails to initialize an anonymous union (defined %p)
97D	a constexpr static data member declaration requires an in-class initializer
97E	maximum constexpr depth/count options can be used only when compiling C++
97F	expression not folded to a constant due to excessive constexpr function call complexity
980	unrestricted union options can be used only when compiling C++
981	constexpr constructor must initialize direct base class %t
982	creation of an std::initializer_list object in a field initializer is unlikely to work as expected because the underlying array will be destroyed at the end of the full expression
983	"this" cannot be used in a constant expression
984	
985	"constexpr" is not allowed on an explicit instantiation directive
986	cannot determine the exception specification of the default constructor due to a circular dependency
987	anonymous union defined %p
988	this constructor uses the initializer of %nd, which would result in unbounded recursion
989	
98A	an initializer is not allowed on a local declaration of an extern variable
98B	an initializer is not allowed on a local declaration of a named register variable
98C	
98D	unrestricted unions cannot be enabled in Microsoft mode
98E	constructor delegates directly or indirectly to itself
98F	a delegating constructor cannot have other mem-initializers
990	a ref-qualifier is not allowed here
991	overloading two member functions with the same parameter types requires that they both have ref-qualifiers or both lack ref-qualifiers
992	invalid character in raw string delimiter
993	parenthesis terminating raw string delimiter not found within 16 characters -- raw string indicator ignored
994	ending delimiter for raw string not found
995	a parameter pack must be the final template argument in a partial specialization
996	a pointer-to-member function with type %t can only be used with an lvalue object
997	a pointer-to-member function with type %t can only be used with an rvalue object
998	the parameter of this defaulted copy-constructor cannot be const because a base or member copy constructor parameter is non-const
999	the parameter of this defaulted assignment operator cannot be const because a base or member copy assignment parameter is non-const
99A	an anonymous union must contain at least one nonstatic data member
99B	option "delegating_constructors" requires a different compiler configuration
99C	a reduction in alignment is ignored
99D	the operand of a const_cast to an rvalue reference type cannot be a non-class prvalue
99E	expression must be an lvalue or xvalue
99F	conversion may change the value
9A0	conversion from a string literal to "char *" is deprecated
9A1	conversion from a string literal to pointer-to-character (non-const) is deprecated
9A2	"override" and "final" are C++11 features
9A3	rvalue references are not allowed as exception specification types
9A4	attribute %sq does not apply to handler parameters
9A5	attribute %sq requires a handler parameter
9A6	alignas does not apply here
9A7	the standard "alignof" operator does not accept an expression argument (use a type instead)
9A8	invalid qualifier for %t (a derived class is not allowed here)
9A9	the "always_inline" attribute is ignored on non-inline functions
9AA	inheriting constructors must be inherited from a direct base class
9AB	
9AC	expected a label
9AD	expected an operand number after "%%l"
9AE	operand number for "%%l" does not refer to a valid label argument
9AF	a wide string is invalid in an "asm" statement
9B0	attribute is nonstandard
9B1	not a base class of class %t
9B2	non-identifier character in user-defined literal suffix
9B3	a multicharacter literal cannot be part of a user-defined literal
9B4	user-defined literal suffix does not match the earlier %sq
9B5	invalid literal operator name
9B6	user-defined literal operator not found
9B7	ambiguous literal operators and/or literal operator template:
9B8	a literal operator cannot be a member of a class
9B9	a literal operator cannot have extern "C" name linkage
9BA	at least one parameter expected for a literal operator
9BB	too many parameters for this literal operator
9BC	invalid parameter type %t for literal operator
9BD	invalid integer parameter type (%t) for literal operator; expected a character type or unsigned long long
9BE	invalid floating-point parameter type (%t) for literal operator; expected long double
9BF	invalid first parameter type (%t) for literal operator; pointer to non-const type is not allowed
9C0	invalid second parameter type (%t) for literal operator; must be size_t
9C1	invalid pointer parameter type (%t) for literal operator; expected a pointer to a character type
9C2	a literal operator cannot have an ellipsis parameter
9C3	a literal operator template cannot have any parameters
9C4	a literal operator template must have a template parameter list equivalent to "<char ...>"
9C5	thread-local storage class is not valid here
9C6	thread-local declaration follows non-thread-local declaration (declared %p)
9C7	non-thread-local declaration follows thread-local declaration (declared %p)
9C8	a literal operator cannot have default arguments
9C9	attribute is ignored for thread-local variables
9CA	a user-provided literal suffix must begin with "_"
9CB	rvalue references are a C++11 feature
9CC	lambda expressions are a C++11 feature
9CD	standard attribute syntax is a C++11 feature
9CE	delegating constructors are a C++11 feature
9CF	inheriting constructors are a C++11 feature
9D0	field initializers are a C++11 feature
9D1	deleted functions are a C++11 feature
9D2	defaulted functions are a C++11 feature
9D3	a storage class is not allowed in an explicit specialization
9D4	
9D5	an unscoped enumeration must be opaque in order to be specialized
9D6	an enumeration template declaration must refer to a previously declared member of a class template
9D7	expected a vector operand
9D8	shuffle source operands have incompatible types %t1 and %t2
9D9	shuffle mask (type %t) is not a vector of integers
9DA	shuffle mask (type %t1) has a length different from the source operand (type %t2)
9DB	static initialization with an address value requires a destination of the same size as the address
9DC	the argument to a feature-test macro must be a simple identifier
9DD	__has_include_next cannot be used in the primary source file
9DE	absolute file name used in __has_include_next
9DF	attribute %sq must be applied to a function type
9E0	
9E1	_Noreturn is not allowed here
9E2	expected an operand of real floating-point type (not %t)
9E3	__builtin_complex requires operands of compatible types (unlike %t1 and %t2)
9E4	a default association already appeared in this _Generic selection
9E5	a type involving a variable length array is not allowed here
9E6	duplicate association type (%t) in _Generic selection
9E7	no association matches the selector type %t
9E8	the type of %n (%t) is incompatible with an ifunc resolver type
9E9	a function cannot have both ifunc and alias attributes
9EA	a function cannot have both ifunc and weak attributes
9EB	call requires a string literal operand
9EC	duplicate inheriting constructor declaration (previous %p)
9ED	"decltype(auto)" must be a placeholder for the complete type of the variable (not for a component of that type)
9EE	decltype(auto) is not allowed here
9EF	cannot deduce "decltype(auto)" (initializer required)
9F0	cannot deduce "decltype(auto)" type
9F1	a block-scope thread-local declaration must include static or extern
9F2	deduced return type %t1 conflicts with previously deduced type %t2
9F3	cannot deduce the return type of %nd; it has not been defined
9F4	a virtual function cannot have a deduced return type
9F5	%n will be treated as a context-sensitive keyword from this point
9F6	the global namespace has no actual member %sq
9F7	comparison between two different enum types (%t1 and %t2)
9F8	target attribute not recognized
9F9	missing "default" target function
9FA	only one arch= target may be specified
9FB	a generic class cannot be a custom attribute
9FC	invalid attribute target %sq
9FD	ambiguous attribute -- both %t1 and %t2 could be used
9FE	a named attribute argument can only reference a public nonstatic read/write field or scalar property
9FF	a named attribute argument can only reference a nonstatic field or scalar property of an attribute parameter type
A00	invalid attribute argument -- expression must be a constant of an attribute parameter type
A01	an attribute argument cannot use generic type parameters
A02	%t may only be used as a standalone attribute
A03	the 'field' attribute target cannot be used on a non-trivial property/event
A04	invalid attribute target for a standalone attribute
A05	invalid attribute target for this context
A06	%t attribute cannot be used here
A07	%t is deprecated; use '...' to specify a parameter array
A08	the default namespace cannot be extended
A09	the boxed type must be a value class or enum
A0A	tracking reference to value class is not allowed
A0B	handle to value class is not allowed
A0C	tracking reference to enum is not allowed
A0D	handle to enum is not allowed
A0E	a public native type is not allowed
A0F	a public nested type is not allowed
A10	generic types are not permitted in C++/CX
A11	generic methods are not permitted in C++/CX
A12	generic constraints are not allowed
A13	non-public data members are not allowed in public C++/CX value types
A14	public non-data members are not allowed in public C++/CX value types
A15	constructors are not allowed in public C++/CX value types
A16	the return type of the "add" accessor must be Windows::Foundation::EventRegistrationToken
A17	the return type of the "remove" accessor must be void
A18	the parameter type of the "remove" accessor must be Windows::Foundation::EventRegistrationToken
A19	a handle or reference to a generic parameter type is not allowed
A1A	public data members are not allowed in non-value types
A1B	C++/CX can be enabled only in Microsoft C++ mode
A1C	C++/CLI and C++/CX modes cannot be combined
A1D	%sq requires C++/CX mode
A1E	C++/CX mode requires microsoft_version >= 1600
A1F	Literal fields are not allowed in C++/CX
A20	a standard reference cannot be bound to a C++/CX type
A21	type must correspond to Platform::Boolean, default::uint8, default::int8, default::int16, default::uint16, default::int32, default::uint32, default::int64, or default::uint64
A22	a C++/CX value type cannot have events
A23	a dynamic_cast to a handle type must refer to a complete class type
A24	Platform::Array can only be one-dimensional
A25	tracking reference to standard class type is not allowed
A26	a C++/CX value type cannot inherit from an interface
A27	a C++/CX value type cannot contain virtual functions
A28	"partial" can only be applied to "ref class" or "ref struct" at global scope or namespace scope
A29	the parameter of the "set" accessor must be of type "const Platform::Array<T>^"
A2A	the definition of a public C++/CX type is not allowed at global scope
A2B	an indexed property with a public "get" or "set" accessor is not allowed
A2C	a public nested delegate type is not allowed
A2D	invalid delegate initializer -- expected either "(<function-address or functor-object> [, Platform::CallbackContext])" or "(<object handle>, <member-address> [, Platform::CallbackContext [, bool]])"
A2E	invalid delegate initializer -- object must be a handle to a %[managed] class
A2F	C++/CX does not support 'in/out' arrays -- use "const Platform::Array<T>^" for 'in' and "Platform::WriteOnlyArray<T>^" or "Platform::Array<T>^*" for 'out' on public APIs
A30	missing "target" attribute for %nd
A31	no declared member function matches "target" attributes for %n
A32	Microsoft attributes in this location are only permitted for interface types
A33	GNU function multiversion resolver routine required
A34	an enum type declared in a managed class must include a definition
A35	a decltype-qualified name is nonstandard in this declaration context
A36	nonvirtual function cannot be declared with "final" modifier
A37	"target" attribute on special function is not supported
A38	must be a narrow string literal
A39	unmatched parentheses
A3A	no corresponding "push_options"
A3B	this pragma is not allowed inside a function
A3C	declaring a new or delete operator "inline" is nonstandard
A3D	a mem-initializer for a data member cannot be a pack expansion
A3E	generic lambda expressions cannot have capture defaults in this mode
A3F	a default template argument in a friend declaration may only be specified in a definition
A40	a friend template declaration with a default template argument must be the only declaration (first declared %p)
A41	an opaque enum declaration cannot be part of another declaration
A42	an opaque enum declaration is nonstandard in this context
A43	extended friend syntax is a C++11 feature
A44	digit separators not enabled, apostrophe begins a character literal
A45	digit separator cannot appear here
A46	"constexpr" is ignored here in Microsoft mode
A47	invalid expression for statement expression result
A48	identifier is a macro and not a literal suffix
A49	%nd cannot be called on an lvalue
A4A	%nd cannot be called on an rvalue
A4B	member function cannot be called on an lvalue
A4C	member function cannot be called on an rvalue
A4D	the template parameter list is too long
A4E	alias template type %t1 is incompatible with the previous type of %t2 in the redeclaration of %nfd
A4F	the field initializer for %nd is not a constant expression
A50	the number of operand constraints must be the same in each constraint string
A51	the constraint string contains too many alternative constraints; not all constraints were checked
A52	
A53	decltype(auto) cannot have added type qualifiers
A54	init-capture %nod cannot be captured here
A55	invalid nontype template argument of type %t
A56	the abi_tag attribute is ignored (it has no meaning in C mode)
A57	redeclaration adds abi_tag attribute "%s"
A58	abi_tag attribute is ignored (superseded by later abi_tag attribute)
A59	previous declaration of %nd had no abi_tag attribute
A5A	(see previous declaration %p)
A5B	abi_tag attribute is ignored on specialization
A5C	decltype(auto) cannot appear under a pointer, reference, or pointer-to-member construct
A5D	expected "class" or "typename"
A5E	placement "new" expression refers to non-placement %nd
A5F	must specify C++14 mode when building runtime library
A60	%s
A61	command-line warning
A62	Command-line warning
A63	constexpr non-static member function will not be implicitly 'const' in C++14
A64	variable type %t in constexpr function is not a literal type
A65	variable in constexpr function does not have automatic storage duration
A66	variable in constexpr function is uninitialized
A67	braced initialization of a variable declared with a placeholder type but without `=` requires exactly one element inside the braces
A68	no "%s" --target configuration exists
A69	attribute is supported only in 32-bit x86 configurations
A6A	"%s" requires an argument
A6B	a constructor or destructor cannot be a coroutine
A6C	%n cannot be a coroutine
A6D	co_yield expressions are not permitted in a catch clause
A6E	
A6F	
A70	
A71	
A72	class template %sq not found
A73	use the "typename" keyword to treat %n as a type in a dependent context
A74	argument value must be less than the sum of the vector elements
A75	%t has no member %sq
A76	a brace-enclosed list does not provide a return type
A77	a co_await expression must appear in a function scope
A78	a co_await expression is not allowed inside a catch clause
A79	a coroutine cannot have an ellipsis parameter
A7A	enabling C++14-style constexpr requires support for "bool"
A7B	constexpr %nd is not defined
A7C	this call cannot be evaluated because the target function %nd is not constexpr or not completely defined yet
A7D	note
A7E	Note
A7F	invalid anonymous union -- alias member template is not allowed
A80	a UTF-8 character literal value cannot occupy more than one code unit
A81	the value of %nd cannot be used as a constant
A82	a pointer or reference to %nd cannot be used as a constant
A83	nonzero subscript for non-array object
A84	cannot access position %d1 in array of %d2 elements
A85	called from:
A86	invalid access to inactive %n1 of union (%n2 is active)
A87	'goto' cannot be executed in constexpr contexts
A88	missing return value
A89	callee is null
A8A	attempt to dereference a null pointer
A8B	attempt to access storage one position past the end of an array of %d elements
A8C	attempt to access expired storage
A8D	attempt to access run-time storage
A8E	
A8F	cannot call non-constexpr %nd
A90	cannot use variable-length array during constexpr evaluation
A91	cannot perform a negative shift
A92	shift amount (%d) too large
A93	value exceeds range of %t
A94	floating-point error
A95	attempt to dereference a null pointer-to-member (data member)
A96	comparing a pointer to void and a pointer to a function is nonstandard
A97	metadata initialization failed
A98	invalid base-to-derived cast (complete class type is %t)
A99	invalid access to %n in object of complete type %t
A9A	"__auto_type" not allowed here
A9B	"__auto_type" does not permit multiple declarators
A9C	initialization with "{...}" is not allowed for "__auto_type"
A9D	"__auto_type" must be a placeholder for the complete type of the variable (not for a component of that type)
A9E	a variable declared with "__auto_type" requires an initializer
A9F	integer constant must be greater than or equal to zero
AA0	type must be an integral type
AA1	expression cannot be interpreted
AA2	statement cannot be interpreted
AA3	invalid use of address of interpreter storage
AA4	invalid constant kind for constant-expression
AA5	type %t too large for constant-expression evaluation
AA6	invalid type %t for constant-expression evaluation
AA7	conversion from %t1 to %t2 is invalid in constant-expression evaluation
AA8	floating-point conversion failed
AA9	
AAA	deduced return types are a C++14 feature
AAB	cannot evaluate a constructor with an associated destructor
AAC	%n not initialized during constexpr evaluation
AAD	invalid pointer difference in constexpr evaluation
AAE	invalid arithmetic on non-array pointer
AAF	cannot set pointer before the first array element
AB0	a coroutine with a deduced return type is invalid
AB1	expression not allowed in unevaluated context
AB2	
AB3	
AB4	"return" is not permitted in a coroutine (use "co_return" instead)
AB5	"co_return" is only allowed in coroutines
AB6	floating-point values cannot be compared
AB7	pointer values cannot be compared because they do not point into the same complete object or they point to subobjects with different accessibility
AB8	ignoring abi_tag attribute on non-inline namespace
AB9	ignoring abi_tag attribute on anonymous namespace
ABA	complex or imaginary template parameter type is nonstandard
ABB	co_yield expression is not permitted outside a function scope
ABC	ignoring thread-local indication on anonymous union
ABD	
ABE	variable template
ABF	access to uninitialized object
AC0	attempt to read from volatile storage
AC1	invalid access to inactive %n1 of union (no field is active)
AC2	label definitions cannot appear in constexpr functions
AC3	cannot compare a pointer past the end of an array with a pointer to another complete object
AC4	function type %t is an invalid type for a variable template instantiation
AC5	variable cannot have incomplete type %t
AC6	access to uninitialized subobject (%n)
AC7	access to uninitialized subobject (base class %t)
AC8	a pseudo-destructor call is not permitted in a constant-expression
AC9	attempt to modify const storage
ACA	
ACB	
ACC	attempt to access storage one position past an object treated as an array of one element
ACD	cannot use reinterpret_cast in constant-expression evaluation
ACE	operation not allowed on null pointer
ACF	the value of *this cannot be used as a constant
AD0	the "inline" keyword cannot be used on a nested namespace declaration
AD1	the "carries_dependency" attribute is ignored
AD2	an "__event __interface" cannot have a definition here
AD3	an event handler must have a void or integral return type
AD4	an "__event __interface" must have been previously defined
AD5	too many template arguments for %n
AD6	enumerator already declared (see %nd)
AD7	the version of Microsoft being emulated must be at least 1903 to use "--ms_c++14"
AD8	the version of Microsoft being emulated must be at least 1903 to use "--ms_c++latest"
AD9	type %t cannot be _Atomic because it is an array or function type
ADA	the _Atomic(...) specifier cannot be applied to qualified type %t
ADB	access to member of _Atomic object
ADC	a bit field cannot have an _Atomic type
ADD	
ADE	constexpr constructor calls non-constexpr constructor for subobject initialization
ADF	expected a comma (the one-argument version of static_assert is not enabled in this mode)
AE0	static assertion failed
AE1	at most one of the qualifiers _Nullable, _Nonnull, and _Null_unspecified can modify a type
AE2	nullability qualifiers are only permitted on pointer and pointer-to-member types
AE3	vector length is too large
AE4	vector element type must be integral, enum, or real floating-point type
AE5	builtin function is not available because 128-bit integers are not supported
AE6	builtin function is not available because vector types are not supported
AE7	two consecutive left square brackets always introduce an attribute list but an attribute list cannot appear here
AE8	unrecognized "target" attribute disqualifies this routine from being used by resolver routine
AE9	%t is not a vector type
AEA	vector types %t1 and %t2 must have the same length
AEB	added default arguments cannot result in declaring a default or copy constructor
AEC	a nontype template argument of reference type must bind to a function or to a complete object
AED	%t not allowed here
AEE	use of the "register" storage class specifier is not allowed
AEF	use of the "register" storage class specifier is deprecated
AF0	incrementing a bool value is not allowed
AF1	%sq, declared as iterator of range-based "for" statement, may not be redeclared in this scope
AF2	an attribute namespace may not be used here (because a "using" prefix was specified)
AF3	attribute namespace %sq is unrecognized
AF4	a default member initializer is not permitted in a value class
